Date : 2025-04-11 11:09:38
Directory : c:\Users\Hi\Coder\MovieApp
Total : 87 files,  2625 codes, 175 comments, 377 blanks, all 3177 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| XML          |         55 |      1,538 |         30 |        166 |      1,734 |
| Kotlin       |         24 |        846 |         94 |        167 |      1,107 |
| Kotlinscript |          3 |        145 |          2 |         20 |        167 |
| JSON         |          1 |         47 |          0 |          0 |         47 |
| Batch        |          1 |         39 |         29 |         22 |         90 |
| Properties   |          2 |          9 |         20 |          1 |         30 |
| Markdown     |          1 |          1 |          0 |          1 |          2 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |         87 |      2,625 |        175 |        377 |      3,177 |
| . (Files)                                                                                           |          5 |         70 |         49 |         25 |        144 |
| .idea                                                                                               |         11 |        183 |          0 |          0 |        183 |
| .idea (Files)                                                                                       |         10 |        130 |          0 |          0 |        130 |
| .idea\inspectionProfiles                                                                            |          1 |         53 |          0 |          0 |         53 |
| app                                                                                                 |         70 |      2,367 |        125 |        351 |      2,843 |
| app (Files)                                                                                         |          2 |        166 |          1 |         18 |        185 |
| app\src                                                                                             |         68 |      2,201 |        124 |        333 |      2,658 |
| app\src\androidTest                                                                                 |          1 |         14 |          6 |          4 |         24 |
| app\src\androidTest\java                                                                            |          1 |         14 |          6 |          4 |         24 |
| app\src\androidTest\java\com                                                                        |          1 |         14 |          6 |          4 |         24 |
| app\src\androidTest\java\com\example                                                                |          1 |         14 |          6 |          4 |         24 |
| app\src\androidTest\java\com\example\movieapp                                                       |          1 |         14 |          6 |          4 |         24 |
| app\src\main                                                                                        |         66 |      2,178 |        113 |        326 |      2,617 |
| app\src\main (Files)                                                                                |          1 |         45 |          0 |          3 |         48 |
| app\src\main\java                                                                                   |         22 |        823 |         83 |        160 |      1,066 |
| app\src\main\java\com                                                                               |         22 |        823 |         83 |        160 |      1,066 |
| app\src\main\java\com\example                                                                       |         22 |        823 |         83 |        160 |      1,066 |
| app\src\main\java\com\example\movieapp                                                              |         22 |        823 |         83 |        160 |      1,066 |
| app\src\main\java\com\example\movieapp (Files)                                                      |          1 |         39 |          6 |          9 |         54 |
| app\src\main\java\com\example\movieapp\Activities                                                   |          8 |        540 |         35 |         98 |        673 |
| app\src\main\java\com\example\movieapp\Adapters                                                     |          2 |         28 |          1 |          8 |         37 |
| app\src\main\java\com\example\movieapp\Dataclass                                                    |          4 |         33 |          0 |          9 |         42 |
| app\src\main\java\com\example\movieapp\Fragment                                                     |          4 |        119 |         14 |         24 |        157 |
| app\src\main\java\com\example\movieapp\ui                                                           |          3 |         64 |         27 |         12 |        103 |
| app\src\main\java\com\example\movieapp\ui\theme                                                     |          3 |         64 |         27 |         12 |        103 |
| app\src\main\res                                                                                    |         43 |      1,310 |         30 |        163 |      1,503 |
| app\src\main\res\anim                                                                               |          2 |         10 |          0 |          2 |         12 |
| app\src\main\res\color                                                                              |          1 |          5 |          0 |          0 |          5 |
| app\src\main\res\drawable                                                                           |         18 |        196 |          3 |         38 |        237 |
| app\src\main\res\layout                                                                             |         13 |      1,032 |          3 |        119 |      1,154 |
| app\src\main\res\menu                                                                               |          1 |         19 |          0 |          1 |         20 |
| app\src\main\res\mipmap-anydpi-v26                                                                  |          2 |         10 |          0 |          0 |         10 |
| app\src\main\res\values                                                                             |          4 |         30 |          0 |          3 |         33 |
| app\src\main\res\xml                                                                                |          2 |          8 |         24 |          0 |         32 |
| app\src\test                                                                                        |          1 |          9 |          5 |          3 |         17 |
| app\src\test\java                                                                                   |          1 |          9 |          5 |          3 |         17 |
| app\src\test\java\com                                                                               |          1 |          9 |          5 |          3 |         17 |
| app\src\test\java\com\example                                                                       |          1 |          9 |          5 |          3 |         17 |
| app\src\test\java\com\example\movieapp                                                              |          1 |          9 |          5 |          3 |         17 |
| gradle                                                                                              |          1 |          5 |          1 |          1 |          7 |
| gradle\wrapper                                                                                      |          1 |          5 |          1 |          1 |          7 |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                            | language     | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| c:\Users\Hi\Coder\MovieApp\.idea\appInsightsSettings.xml                                            | XML          |         27 |          0 |          0 |         27 |
| c:\Users\Hi\Coder\MovieApp\.idea\compiler.xml                                                       | XML          |          6 |          0 |          0 |          6 |
| c:\Users\Hi\Coder\MovieApp\.idea\deploymentTargetSelector.xml                                       | XML          |         21 |          0 |          0 |         21 |
| c:\Users\Hi\Coder\MovieApp\.idea\gradle.xml                                                         | XML          |         19 |          0 |          0 |         19 |
| c:\Users\Hi\Coder\MovieApp\.idea\inspectionProfiles\Project_Default.xml                             | XML          |         53 |          0 |          0 |         53 |
| c:\Users\Hi\Coder\MovieApp\.idea\kotlinc.xml                                                        | XML          |          6 |          0 |          0 |          6 |
| c:\Users\Hi\Coder\MovieApp\.idea\material_theme_project_new.xml                                     | XML          |         12 |          0 |          0 |         12 |
| c:\Users\Hi\Coder\MovieApp\.idea\migrations.xml                                                     | XML          |         10 |          0 |          0 |         10 |
| c:\Users\Hi\Coder\MovieApp\.idea\misc.xml                                                           | XML          |         17 |          0 |          0 |         17 |
| c:\Users\Hi\Coder\MovieApp\.idea\studiobot.xml                                                      | XML          |          6 |          0 |          0 |          6 |
| c:\Users\Hi\Coder\MovieApp\.idea\vcs.xml                                                            | XML          |          6 |          0 |          0 |          6 |
| c:\Users\Hi\Coder\MovieApp\README.md                                                                | Markdown     |          1 |          0 |          1 |          2 |
