Date : 2025-04-12 10:19:38
Directory : c:\Users\Hi\Coder\MovieApp
Total : 93 files,  3041 codes, 220 comments, 455 blanks, all 3716 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| XML          |         57 |      1,673 |         44 |        191 |      1,908 |
| Kotlin       |         28 |      1,127 |        125 |        220 |      1,472 |
| Kotlinscript |          3 |        145 |          2 |         20 |        167 |
| JSON         |          1 |         47 |          0 |          0 |         47 |
| Batch        |          1 |         39 |         29 |         22 |         90 |
| Properties   |          2 |          9 |         20 |          1 |         30 |
| Markdown     |          1 |          1 |          0 |          1 |          2 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |         93 |      3,041 |        220 |        455 |      3,716 |
| . (Files)                                                                                           |          5 |         70 |         49 |         25 |        144 |
| .idea                                                                                               |         11 |        183 |          0 |          0 |        183 |
| .idea (Files)                                                                                       |         10 |        130 |          0 |          0 |        130 |
| .idea\inspectionProfiles                                                                            |          1 |         53 |          0 |          0 |         53 |
| app                                                                                                 |         76 |      2,783 |        170 |        429 |      3,382 |
| app (Files)                                                                                         |          2 |        166 |          1 |         18 |        185 |
| app\src                                                                                             |         74 |      2,617 |        169 |        411 |      3,197 |
| app\src\androidTest                                                                                 |          1 |         14 |          6 |          4 |         24 |
| app\src\androidTest\java                                                                            |          1 |         14 |          6 |          4 |         24 |
| app\src\androidTest\java\com                                                                        |          1 |         14 |          6 |          4 |         24 |
| app\src\androidTest\java\com\example                                                                |          1 |         14 |          6 |          4 |         24 |
| app\src\androidTest\java\com\example\movieapp                                                       |          1 |         14 |          6 |          4 |         24 |
| app\src\main                                                                                        |         72 |      2,594 |        158 |        404 |      3,156 |
| app\src\main (Files)                                                                                |          1 |         48 |          0 |          3 |         51 |
| app\src\main\java                                                                                   |         26 |      1,104 |        114 |        213 |      1,431 |
| app\src\main\java\com                                                                               |         26 |      1,104 |        114 |        213 |      1,431 |
| app\src\main\java\com\example                                                                       |         26 |      1,104 |        114 |        213 |      1,431 |
| app\src\main\java\com\example\movieapp                                                              |         26 |      1,104 |        114 |        213 |      1,431 |
| app\src\main\java\com\example\movieapp (Files)                                                      |          1 |         39 |          6 |          9 |         54 |
